OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species,,
OTU_64,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Methanomassiliicoccales,f__,g__,s__,,
OTU_65,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__,s__,,
OTU_66,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Candidatus_Methanogranum,s__,,
OTU_67,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Candidatus_Methanomethylophilus,s__,,
OTU_68,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Candidatus_Methanomethylophilus,s__Candidatus_Methanomethylophilus_alvus,,
OTU_69,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Candidatus_Methanoplasma,s__,,
OTU_70,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Candidatus_Methanoplasma,s__Candidatus_Methanoplasma_termitum,,
OTU_71,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccus,s__,,
OTU_72,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccus,s__Candidatus_Methanomassiliicoccus_intestinalis,,
OTU_73,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Thermoplasmatales,f__,g__,s__,,
OTU_74,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Thermoplasmatales,f__,g__,s__Thermoplasmatales_archaeon_BRNA1,,
OTU_75,k__Archaea,p__Thaumarchaeota,c__,o__,f__,g__,s__,,
OTU_76,k__Archaea,p__Thaumarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__,s__,,
OTU_77,k__Bacteria,p__,c__,o__,f__,g__,s__,,
OTU_78,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium,s__bacterium,
OTU_79,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_'New_Zealand_D',s__bacterium_'New_Zealand_D',
OTU_80,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_28W232,s__bacterium_28W232,
OTU_81,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_A6161,s__bacterium_A6161,
OTU_82,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_A7(2010),s__bacterium_A7(2010),
OTU_83,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_AB2028,s__bacterium_AB2028,
OTU_84,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_AC2035,s__bacterium_AC2035,
OTU_85,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_AC2042,s__bacterium_AC2042,
OTU_86,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_AC2043,s__bacterium_AC2043,
OTU_87,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_AC2044,s__bacterium_AC2044,
OTU_88,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_AC3007,s__bacterium_AC3007,
OTU_89,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_AD2012,s__bacterium_AD2012,
OTU_90,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_AD2015,s__bacterium_AD2015,
OTU_91,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_AD3011,s__bacterium_AD3011,
OTU_92,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_AE3002,s__bacterium_AE3002,
OTU_93,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_AE3005,s__bacterium_AE3005,
OTU_94,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_B63(2013),s__bacterium_B63(2013),
OTU_95,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_DAZ1007,s__bacterium_DAZ1007,
OTU_96,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_DAZ1013,s__bacterium_DAZ1013,
OTU_97,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_DAZ1015,s__bacterium_DAZ1015,
OTU_98,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_EMS,s__bacterium_EMS,
OTU_99,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_endosymbiont_of_Onthophagus_Taurus,s__bacterium_endosymbiont_of_Onthophagus_Taurus,
OTU_100,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_51,s__bacterium_enrichment_culture_clone_51,
OTU_101,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_76,s__bacterium_enrichment_culture_clone_76,
OTU_102,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_BA212,s__bacterium_enrichment_culture_clone_BA212,
OTU_103,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_BBMC-11,s__bacterium_enrichment_culture_clone_BBMC-11,
